vgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBV5-8,0.00662552065289736,0.00623629047279013,0.000389230180107228,0.0605434278046006,0.202666770693846,0.363608029774253,0.439366534558589
TRBV4-1,0.0244539643413426,0.0238623211184381,0.000591643222904517,0.0244916508501608,0.231101304905838,0.402776559978746,0.394935811624117
TRBV9-1,0.0375919225589153,0.0387146890422642,-0.00112276648334899,-0.0294298880792177,0.244040199861232,0.413512560875976,0.383511293762533
TRBV7-1,0.00369393280155518,0.00346017930091733,0.000233753500637849,0.065371281569092,0.255441721136445,0.418119731545429,0.378699337115697
TRBV26-1,2.37326548527631e-07,3.04483968786405e-07,-6.71574202587741e-08,-0.249181403429566,0.260468029487316,0.418119731545429,0.378699337115697
TRBV5-4,0.0231044522419368,0.0213731682206947,0.00173128402124213,0.0778890228292366,0.279991212612998,0.437934973574176,0.358590370579125
TRBV18-1,0.0289275958158661,0.0297517232109097,-0.000824127395043544,-0.0280910413310068,0.315849093216049,0.481669867154475,0.317250521918632
TRBV7-3,0.0160323833420979,0.0133010297787362,0.00273135356336166,0.186769176472546,0.334374764886725,0.497040158774024,0.303608520664313
TRBV19-1,0.0616357190177639,0.0586623931373228,0.00297332588044106,0.0494426972068834,0.342224371614902,0.497040158774024,0.303608520664313
TRBV8-2,3.18262694389732e-07,1.35136021193699e-07,1.83126673196032e-07,0.856595289164106,0.361222015128898,0.50431776886556,0.297295729869195
TRBV28-1,0.0515676004176624,0.0467377125773008,0.00482988784036156,0.0983421877768881,0.363770193935814,0.50431776886556,0.297295729869195
TRBV16-1,0.00123918402012538,0.00107286686071583,0.000166317159409545,0.144118740118236,0.381630156835396,0.517320879265759,0.28623999294813
TRBV27-1,0.0425758549192737,0.0372174569854265,0.00535839793384722,0.134509381652545,0.417811492200857,0.554054370092441,0.256447615285072
TRBV2-1,0.0439918320353457,0.0446351917179774,-0.000643359682631711,-0.0145186187352341,0.43434508249819,0.55971157362942,0.252035712726243
TRBV7-9,0.0458496193810516,0.0478326838119484,-0.00198306443089679,-0.0423422703218019,0.44340211584479,0.55971157362942,0.252035712726243
TRBV22-1,6.20739056792436e-06,1.12278643103827e-05,-5.02047374245833e-06,-0.592657964259115,0.449604378817075,0.55971157362942,0.252035712726243
TRBV7-5,0.000265975953389711,0.000265635783751427,3.40169638284201e-07,0.00127976739769204,0.520255281759508,0.622266121320196,0.206023843116786
TRBV20-1,0.0846995444521757,0.0840341451114024,0.000665399340773365,0.00788701760457248,0.518049038427402,0.622266121320196,0.206023843116786
TRBV7-2,0.0356581055271173,0.034781120631913,0.000876984895204297,0.0249017560404273,0.577440172446641,0.664792139914895,0.177314124019024
TRBV10-3,0.0185704003874603,0.0178928594296482,0.000677540957812084,0.037167217401159,0.577606285499827,0.664792139914895,0.177314124019024
TRBV4-3,0.015559939566484,0.0131746958687084,0.00238524369777565,0.166401624648665,0.614806876749631,0.694504064476435,0.158325208278385
TRBV5-2,1.01665716972452e-06,8.8853651472432e-07,1.28120655000199e-07,0.134699495840084,0.807104929616134,0.895152740119712,0.0481028545929985
TRBV4-2,0.014160617668768,0.0131978123039242,0.000962805364843814,0.0704136266842872,0.849496127160104,0.925343995656542,0.0336967887277794
TRBV11-3,0.0106641352285472,0.00955809427528467,0.00110604095326252,0.109497900040251,0.895642778682522,0.958494903502348,0.0184101920052111
TRBV5-1,0.0591850564564719,0.0586756934778023,0.000509362978669679,0.00864352467094951,0.958408418345148,0.974381891984234,0.011270795610625
TRBV7-8,0.0168364675093073,0.0153950040242983,0.00144146348500902,0.0895041761745946,0.94872550519537,0.974381891984234,0.011270795610625
TRBV8-1,6.07671931500976e-07,9.47805119223631e-07,-3.40133187722655e-07,-0.444513760693329,0.943165273619194,0.974381891984234,0.011270795610625
TRBV7-6,0.00993044359075362,0.0100818188497919,-0.000151375259038234,-0.0151285389760935,0.983997059446937,0.983997059446937,0.00700619940186678
